Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Gap junction,2/88,0.0115354217357383,0.3107615474825236,0,0,13.207308970099668,58.93540836866378,GJA1;EGFR
KEGG_2021_Human,Ubiquinone and other terpenoid-quinone biosynthesis,1/11,0.0201676468856421,0.3107615474825236,0,0,55.425,216.36122001333428,HPD
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0310008470344359,0.3107615474825236,0,0,34.630208333333336,120.29636590931148,HPD
KEGG_2021_Human,One carbon pool by folate,1/20,0.0363736593292806,0.3107615474825236,0,0,29.157894736842103,96.62665093408292,ALDH1L1
KEGG_2021_Human,Protein export,1/23,0.0417174831924768,0.3107615474825236,0,0,25.178030303030305,79.98644731441095,SEC61G
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,1/27,0.0487977508038484,0.3107615474825236,0,0,21.30021367521368,64.32815883418561,ELOVL2
KEGG_2021_Human,Fatty acid elongation,1/27,0.0487977508038484,0.3107615474825236,0,0,21.30021367521368,64.32815883418561,ELOVL2
KEGG_2021_Human,Propanoate metabolism,1/34,0.0610659373084562,0.3107615474825236,0,0,16.776094276094277,46.90262214500739,ACSS3
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0645427644249927,0.3107615474825236,0,0,15.815873015873017,43.34224956187957,HPD
KEGG_2021_Human,Mucin type O-glycan biosynthesis,1/36,0.0645427644249927,0.3107615474825236,0,0,15.815873015873017,43.34224956187957,GALNT3
KEGG_2021_Human,African trypanosomiasis,1/37,0.0662764773937358,0.3107615474825236,0,0,15.375771604938272,41.72861769022075,HPR
KEGG_2021_Human,Coronavirus disease,2/232,0.0684583501608015,0.3107615474825236,0,0,4.902608695652174,13.146491047873829,MASP1;EGFR
KEGG_2021_Human,Bladder cancer,1/41,0.073180119912113,0.3107615474825236,0,0,13.835416666666667,36.17728305000016,EGFR
KEGG_2021_Human,Ferroptosis,1/41,0.073180119912113,0.3107615474825236,0,0,13.835416666666667,36.17728305000016,MAP1LC3C
KEGG_2021_Human,Fatty acid degradation,1/43,0.0766132920442956,0.3107615474825236,0,0,13.17526455026455,33.84705294145367,ACADL
KEGG_2021_Human,Other types of O-glycan biosynthesis,1/47,0.0834425555494731,0.3107615474825236,0,0,12.027173913043478,29.870651141018534,GALNT3
KEGG_2021_Human,Vibrio cholerae infection,1/50,0.0885322278902676,0.3107615474825236,0,0,11.289115646258503,27.36920368672352,SEC61G
KEGG_2021_Human,Endometrial cancer,1/58,0.1019706198062095,0.3107615474825236,0,0,9.700779727095515,22.14756449052859,EGFR
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.1217674523301673,0.3107615474825236,0,0,8.008856682769727,16.86378645814782,EGFR
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.1217674523301673,0.3107615474825236,0,0,8.008856682769727,16.86378645814782,EGFR
KEGG_2021_Human,Adherens junction,1/71,0.1233978865403968,0.3107615474825236,0,0,7.894047619047619,16.517041814545937,EGFR
KEGG_2021_Human,Melanoma,1/72,0.1250253755206387,0.3107615474825236,0,0,7.782472613458529,16.181617135394756,EGFR
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.1250253755206387,0.3107615474825236,0,0,7.782472613458529,16.181617135394756,EGFR
KEGG_2021_Human,PPAR signaling pathway,1/74,0.1282715384991091,0.3107615474825236,0,0,7.568493150684931,15.542701942518896,ACADL
KEGG_2021_Human,Glioma,1/75,0.1298902228088851,0.3107615474825236,0,0,7.46584084084084,15.238271103442942,EGFR
KEGG_2021_Human,Pancreatic cancer,1/76,0.1315059825524281,0.3107615474825236,0,0,7.365925925925926,14.943275535371535,EGFR
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,1/77,0.1331188228369622,0.3107615474825236,0,0,7.268640350877193,14.65730881251084,GJA1
KEGG_2021_Human,Complement and coagulation cascades,1/85,0.145917058558831,0.3107615474825236,0,0,6.573743386243386,12.652595062512743,MASP1
KEGG_2021_Human,ErbB signaling pathway,1/85,0.145917058558831,0.3107615474825236,0,0,6.573743386243386,12.652595062512743,EGFR
KEGG_2021_Human,Taste transduction,1/86,0.1475038535361489,0.3107615474825236,0,0,6.496078431372549,12.432850862154837,ENTPD2
KEGG_2021_Human,Colorectal cancer,1/86,0.1475038535361489,0.3107615474825236,0,0,6.496078431372549,12.432850862154837,EGFR
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.1522470473115751,0.3107615474825236,0,0,6.273674242424242,11.80862815009642,EGFR
KEGG_2021_Human,Salivary secretion,1/93,0.1585313805776318,0.3107615474825236,0,0,5.99969806763285,11.050260223410378,AQP5
KEGG_2021_Human,GnRH signaling pathway,1/93,0.1585313805776318,0.3107615474825236,0,0,5.99969806763285,11.050260223410378,EGFR
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.1600953678234365,0.3107615474825236,0,0,5.934886499402628,10.872626559544203,FMOD
KEGG_2021_Human,Staphylococcus aureus infection,1/95,0.1616565265625777,0.3107615474825236,0,0,5.87145390070922,10.699441239934089,MASP1
KEGG_2021_Human,Prostate cancer,1/97,0.1647703785734911,0.3107615474825236,0,0,5.7485532407407405,10.365805111339196,EGFR
KEGG_2021_Human,Choline metabolism in cancer,1/98,0.1663230817512098,0.3107615474825236,0,0,5.689003436426117,10.20506581753972,EGFR
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.1786440106564406,0.3252128911021799,0,0,5.253439153439153,9.048314619475114,EGFR
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.1832185301984112,0.3252128911021799,0,0,5.106738683127572,8.666522046159436,EGFR
KEGG_2021_Human,Purine metabolism,1/129,0.2130880028890885,0.352391510858978,0,0,4.304470486111111,6.654926765060291,ENTPD2
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.2130880028890885,0.352391510858978,0,0,4.304470486111111,6.654926765060291,EGFR
KEGG_2021_Human,FoxO signaling pathway,1/131,0.2160158199701249,0.352391510858978,0,0,4.237820512820512,6.49405155144787,EGFR
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.2247358203084047,0.352391510858978,0,0,4.049632352941177,6.045411444773934,EGFR
KEGG_2021_Human,Breast cancer,1/147,0.2390598746493815,0.352391510858978,0,0,3.770357686453577,5.395537327103972,EGFR
KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.2404780353313584,0.352391510858978,0,0,3.744520030234316,5.33641481020768,EGFR
KEGG_2021_Human,Gastric cancer,1/149,0.2418936242745984,0.352391510858978,0,0,3.719031531531531,5.278262347243474,EGFR
KEGG_2021_Human,Phagosome,1/152,0.2461250061241192,0.352391510858978,0,0,3.644591611479029,5.109410262691594,SEC61G
KEGG_2021_Human,Oxytocin signaling pathway,1/154,0.2489331517218061,0.352391510858978,0,0,3.5965867828612925,5.001308867571501,EGFR
KEGG_2021_Human,Cushing syndrome,1/155,0.2503334052868782,0.352391510858978,0,0,3.573051948051948,4.948539844529104,EGFR
KEGG_2021_Human,Hepatitis C,1/157,0.2531262965325053,0.352391510858978,0,0,3.5268874643874644,4.845473309088604,EGFR
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.2600643068552036,0.3550878035907587,0,0,3.4164941338854384,4.601424305312999,EGFR
KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.2683071722844291,0.3581490234131952,0,0,3.292747837658017,4.332014095552551,EGFR
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.272395031891726,0.3581490234131952,0,0,3.2341503267973857,4.206018784458753,SEC61G
KEGG_2021_Human,Focal adhesion,1/201,0.3120704738038972,0.4014632864840535,0,0,2.744861111111111,3.196462786581096,EGFR
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.3171988154408463,0.4014632864840535,0,0,2.690495642701525,3.089298458719968,EGFR
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.3235569540648964,0.4014632864840535,0,0,2.625465178096757,2.962522725043629,EGFR
KEGG_2021_Human,cAMP signaling pathway,1/216,0.3311107061150312,0.4014632864840535,0,0,2.551421188630491,2.8200922182497528,CNGA3
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.3336103366557628,0.4014632864840535,0,0,2.5276497695852536,2.77480746844903,EGFR
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.3422876739808511,0.4050404142106738,0,0,2.4477926587301586,2.624287672733528,EGFR
KEGG_2021_Human,Ras signaling pathway,1/232,0.3508550349420652,0.4062928544357981,0,0,2.3727753727753726,2.485202563550029,EGFR
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.3593137751237664,0.4062928544357981,0,0,2.3021708683473388,2.3564082800502475,EGFR
KEGG_2021_Human,Calcium signaling pathway,1/240,0.3605133778796519,0.4062928544357981,0,0,2.292422129242213,2.3387891491405592,EGFR
KEGG_2021_Human,Shigellosis,1/246,0.3676652339194849,0.4078786188794286,0,0,2.2356009070294784,2.236903022200789,EGFR
KEGG_2021_Human,Endocytosis,1/252,0.3747392434823073,0.4093305582652894,0,0,2.1814962372731297,2.141192757453422,EGFR
KEGG_2021_Human,MAPK signaling pathway,1/294,0.4221457712674723,0.4541265115150081,0,0,1.8648084945013272,1.608219414545101,EGFR
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.4392695072225643,0.4654945524298816,0,0,1.7668104998202083,1.453452775148989,EGFR
KEGG_2021_Human,Human papillomavirus infection,1/331,0.4609967535490291,0.4813348456173686,0,0,1.6526094276094276,1.2797217065627104,EGFR
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.4838535063366214,0.4978782456507263,0,0,1.5431224425558705,1.1202653693186988,EGFR
KEGG_2021_Human,Olfactory transduction,1/440,0.561254534073352,0.5692724559886856,0,0,1.2353834472285496,0.7135337121097337,CNGA3
KEGG_2021_Human,Pathways in cancer,1/531,0.630843030854146,0.630843030854146,0,0,1.0185010482180294,0.4692216096960221,EGFR
